Fist Last Nickname HT WT Reach Stance W L D Belt
Mu Bae Choi NA 74 230  NA Orthodox 9 4 0 NA
Hong Man Choi Techno_Goliath 86 330  NA Orthodox 2 3 0 NA
Dooho Choi The_Korean_Superboy 70 145  70.0 Orthodox 14 2 0 NA
John Cholish NA 71 155  72.0 Orthodox 8 3 0 NA
Ryo Chonan Piranah 69 170  70.0 Orthodox 20 12 0 NA
Katlyn Chookagian Blonde_Fighter 69 135  68.0 Orthodox 8 1 0 NA
Will Chope The_Kill 76 145  76.0 Switch 19 6 0 NA
Joachim Christensen NA 75 205  NA Orthodox 13 4 0 NA
Dan Christison The_Sandman 80 265  NA Orthodox 20 7 0 NA
Anthony Christodoulou NA 69 155  72.0 Orthodox 12 6 0 NA
Murad Chunkaiev NA 71 185  NA Orthodox 8 3 0 NA
Steven Ciaccio Stryker 72 170  NA NA 4 4 0 NA
Mike Ciesnolevicz NA 72 235  NA Orthodox 19 4 0 NA
Branko Cikatic NA 73 215  NA Orthodox 0 2 0 NA
Nikolajus Cilkinas NA NA NA NA Orthodox 1 6 0 NA
Misha Cirkunov NA 75 205  77.0 Orthodox 13 2 0 NA
Johnny Cisneros The_Tattooed_Terror 71 170  NA NA 9 4 0 NA
Laverne Clark NA 71 170  NA Orthodox 27 19 1 NA
Logan Clark NA 74 185  NA Orthodox 15 5 0 NA
Mychal Clark NA 75 224  NA Orthodox 7 12 0 NA
Dominic Clark NA 70 155  NA NA 3 1 0 NA
Heather Jo Clark Hurricane 66 115  64.0 NA 7 6 0 NA
Devin Clark Brown_Bear 72 205  75.0 Orthodox 7 1 0 NA
John Clarke NA NA 170  NA NA 1 1 0 NA
Mitch Clarke Danger_Zone 70 155  73.0 Orthodox 11 4 0 NA
Rich Clementi No_Love 69 155  72.0 Southpaw 40 20 1 NA
Chris Clements The_Menace 70 170  70.0 Orthodox 12 6 0 NA
RJ Clifford NA NA 160  NA NA 3 2 0 NA
Josh Clopton The_Gentleman 66 145  68.0 Orthodox 6 2 1 NA
Brian Cobb NA 71 155  NA Orthodox 19 6 0 NA
Darryl Cobb NA 69 185  NA NA 5 4 0 NA
Dave Cochran NA 66 155  NA NA 25 28 1 NA
Dakota Cochrane NA 68 155  NA NA 18 8 0 NA
Marloes Coenen NA 69 145  67.0 NA 21 5 0 NA
Marc Cofer NA NA 185  NA NA 4 4 0 NA
John Cofer The_Potter 69 155  73.0 Southpaw 7 4 0 NA
Chris Coggins NA NA NA NA NA 4 1 0 NA
Wayne Cole NA 73 205  NA Orthodox 16 18 0 NA
Devin Cole NA 76 240  NA Orthodox 21 9 1 NA
Coltin Cole NA NA 185  NA NA 2 3 0 NA
Ivan Cole JP 69 135  NA NA 2 3 0 NA
Mark Coleman The_Hammer 73 205  75.0 Orthodox 16 10 0 NA
Cortez Coleman Hollywood 73 185  NA NA 7 2 0 NA
Clay Collard Cassius 71 145  73.0 Orthodox 14 7 0 NA
Jake Collier The_Prototype 75 185  78.0 Orthodox 10 3 0 NA
Christian Colombo Godzilla 77 265  80.0 Orthodox 8 2 1 NA
Wes Combs The_Soldier 74 205  NA Orthodox 19 5 0 NA
Carlos Condit The_Natural_Born_Killer 74 170  75.0 Orthodox 30 10 0 NA
Chris Condo NA 72 335  NA Orthodox 0 1 0 NA
Jeremiah Constant NA 73 240  NA Orthodox 10 7 0 NA
Jonathan Contrestano JT NA 155  NA NA 5 0 0 NA
Bob Cook Crazy 69 170  NA Orthodox 5 0 0 NA
Mike Cook NA 73 205  NA Orthodox 11 9 0 NA
Chad Cook NA 74 205  NA NA 9 9 0 NA
TJ Cook NA NA 205  NA NA 12 4 0 NA
Dewey Cooper The_Black_Cobra NA 205  NA NA 2 1 0 NA
Brett Cooper NA 72 170  NA Orthodox 15 7 0 NA
Bill Cooper NA NA 155  NA NA 2 1 0 NA
Bobby Cooper Super_Duper 73 155  NA NA 12 5 0 NA
Amanda Cooper ABC 63 115  64.0 Switch 3 2 0 NA
Kit Cope Havoc 72 170  NA Orthodox 4 7 0 NA
Chris Cope C-Murder 72 170  72.0 Orthodox 5 4 0 NA
Josh Copeland Cuddly_Bear 73 265  75.0 Orthodox 9 2 0 NA
Akira Corassani NA 68 145  68.0 Orthodox 14 7 0 NA
Muhsin Corbbrey NA 70 155  NA Orthodox 9 7 0 NA
Daniel Cormier DC 71 205  72.0 Orthodox 18 1 0 NA
Clint Coronel NA NA 155  NA NA 2 5 0 NA
Henry Corrales NA 69 145  NA NA 12 2 0 NA
Bethe Correia Pitbull 65 135  64.0 Orthodox 10 2 0 NA
Wesley Correira Cabbage 75 260  NA Orthodox 19 14 0 NA
Chad Corvin The_Brave_Warrior 77 255  NA NA 6 0 0 NA
Miguel Cosio NA 76 205  NA NA 1 12 0 NA
Jadson Costa NA 67 155  NA Orthodox 10 2 0 NA
Guilherme Costa The_Prodigy NA 155  NA NA 5 1 0 NA
Patrick Cote The_Predator 71 170  71.0 Orthodox 24 10 0 NA
JC Cottrell Superstar 69 155  71.0 Orthodox 17 4 0 NA
Rashad Coulter NA 72 225  NA NA 5 1 0 NA
Dave Courchaine NA 68 170  NA NA 5 5 0 NA
Randy Couture The_Natural 73 205  75.0 Orthodox 19 11 0 NA
Kim Couture Sugar_Free 68 135  NA Orthodox 3 6 0 NA
Ryan Couture NA 70 155  75.0 Orthodox 7 3 0 NA
Nikk Covert The_Brick 68 185  NA NA 3 4 0 NA
Colby Covington Chaos 71 170  72.0 Orthodox 11 1 0 NA
Jeff Cox The_Grinder 70 155  NA Orthodox 10 7 0 NA
Nathan Coy Soulforce 70 170  69.0 Southpaw 15 6 0 NA
Andrew Craig Highlight 73 170  76.0 Orthodox 9 4 0 NA
Paul Craig Bearjew 75 205  76.0 Orthodox 9 0 0 NA
Dan Cramer NA 74 170  NA Orthodox 7 3 0 NA
Alberto Crane NA 65 155  NA Orthodox 15 5 0 NA
Tim Credeur NA 75 185  75.0 Orthodox 12 4 0 NA
Paul Creighton NA 66 155  NA Southpaw 3 1 0 NA
Alexander Crispim NA NA 145  NA NA 7 2 0 NA
Alex Crispin NA NA 155  NA NA 0 1 0 NA
Jeff Crotty NA NA 155  NA NA 0 1 0 NA
Daron Cruickshank Detroit_Superstar 68 155  72.0 Switch 16 8 0 NA
Richard Crunkilton Cleat 67 155  NA Orthodox 19 3 0 NA
Marcio Cruz Pe_de_Pano 76 232  NA Orthodox 7 3 0 NA
Dominick Cruz The_Dominator 68 135  68.0 Orthodox 22 1 0 NA
Chris Culley NA NA 145  NA NA 11 8 0 NA
Abel Cullum The_Silent_Assassin 67 139  NA Orthodox 18 6 0 NA
Zak Cummings NA 72 170  75.0 Southpaw 20 5 0 NA
Everett Cummings NA NA 205  NA NA 9 0 0 NA
Patrick Cummins Durkin 74 205  76.0 Orthodox 8 4 0 NA
Luke Cummo NA 72 170  74.0 Orthodox 6 6 0 NA
Larry Cureton NA 74 240  NA Orthodox 0 2 0 NA
Jeff Curran Big_Frog 66 135  69.0 Orthodox 35 15 1 NA
Kailin Curran NA 64 115  65.0 Orthodox 4 4 0 NA
Pat Curran Paddy_Mike 69 145  NA NA 21 7 0 NA
Ion Cutelaba The_Hulk 73 205  75.0 Southpaw 12 3 0 NA
NA NA NA NA NA NA NA NA NA NA NA
Sarah D'alelio The_Monster 67 145  NA NA 4 2 0 NA
Marcos da Matta Parrumpinha 64 145  NA NA 8 2 0 NA
Jussier Formiga Formiga 65 125  67.0 Orthodox 19 4 0 NA
Claudio Silva Hannibal 71 170  71.0 Southpaw 11 1 0 NA
Nicolas Dalby Sharpshooter 71 170  74.0 Orthodox 14 2 1 NA
Paul Daley Semtex 69 170  76.0 Orthodox 31 11 2 NA
Dave Dalgliesh NA 74 205  NA Orthodox 30 19 2 NA
Richard Dalton NA 73 205  NA Orthodox 4 3 1 NA
Aisling Daly Ais_the_Bash 62 115  64.0 NA 16 6 0 NA
Marko Damiani NA 72 170  NA NA 0 1 0 NA
Rodrigo Damm NA 67 155  71.0 Orthodox 12 9 0 NA
Carina Damm Beauty_But_the_Beast 64 135  NA NA 17 6 0 NA
Jarjis Danho Man_Mountain 75 265  74.0 Orthodox 6 1 1 NA
Raymond Daniels NA 74 185  NA Southpaw 0 1 0 NA
Marques Daniels NA NA 155  NA NA 5 5 0 NA
Alexandre Dantas Cafe 74 238  NA Orthodox 0 2 0 NA
Eduardo Dantas Dudu 70 135  NA NA 17 4 0 NA
Mac Danzig NA 68 155  70.0 Orthodox 22 12 1 NA
Karen Darabedyan NA 67 155  68.0 Orthodox 9 4 0 NA
Beneil Dariush NA 70 155  72.0 Southpaw 14 2 0 NA
Sean Daugherty NA 72 175  NA NA 0 2 0 NA
Brian Davidson NA 66 145  NA NA 8 3 0 NA
Rick Davis The_Flying_Squirrel 69 155  NA Orthodox 3 1 1 NA
Marcus Davis The_Irish_Hand_Grenade 70 170  70.0 Southpaw 20 9 0 NA
LC Davis NA 68 135  69.0 Southpaw 17 4 0 NA
Phil Davis Mr._Wonderful 74 205  79.0 Orthodox 13 3 0 NA
Lemont Davis NA 68 170  NA Orthodox 2 5 0 NA
Mike Davis NA NA NA NA NA 2 0 0 NA
Justin Davis Dangerous 71 205  NA NA 14 10 0 NA
Alexis Davis NA 66 135  68.0 Orthodox 17 7 0 NA
Danny Davis NA 74 170  NA NA 6 5 1 NA
Jason Day Dooms 72 185  72.0 Orthodox 19 12 0 NA
Philip De Fries NA 77 250  82.0 Orthodox 9 3 0 NA
Chris de la Rocha NA 75 250  80.0 Orthodox 3 2 0 NA
Mike de la Torre El_Cucuy 71 145  71.0 Orthodox 14 6 0 NA
Rodrigo de Lima Monstro 67 155  75.0 Orthodox 8 3 1 NA
Edilberto de Oliveira Crocota 72 170  NA Orthodox 20 8 2 NA
Johil de Oliveira NA 66 170  NA Orthodox 16 13 1 NA
Jorge de Oliveira Blade 68 155  71.0 Orthodox 7 2 0 NA
Germaine de Randamie The_Iron_Lady 69 135  71.0 Orthodox 6 3 0 NA
Crezio de Souza NA NA 170  NA Orthodox 1 2 0 NA
Tom DeBlass NA 72 185  75.0 Orthodox 7 2 0 NA
Issac DeJesus NA NA 145  NA NA 9 3 0 NA
Shane del Rosario NA 76 250  79.0 Southpaw 11 2 0 NA
Humberto DeLeon NA NA 135  NA NA 6 5 0 NA
Rolando Delgado Roli 75 155  77.0 Orthodox 11 5 1 NA
Israel Delgado NA 70 155  NA NA 0 2 0 NA
Roland Delorme NA 69 135  71.0 Orthodox 9 4 0 NA
Jon Delos Reyes The_Heat 66 125  67.0 Orthodox 8 5 0 NA
Jason DeLucia NA 71 190  NA Southpaw 33 21 1 NA
Justin DeMoney NA NA 170  NA NA 13 5 1 NA
Chris Dempsey NA 70 185  72.0 Orthodox 11 4 0 NA
Nick Denis The_Ninja_of_Love 67 135  NA Orthodox 11 3 0 NA
Thomas Denny The_Wildman 70 170  NA Orthodox 27 19 1 NA
Jason Dent Dynamite 70 155  71.0 Orthodox 21 12 0 NA
Booker DeRousse NA 74 205  NA NA 3 5 0 NA
Tony DeSouza NA 72 170  70.0 Southpaw 10 4 0 NA
Cory Devela The_One 60 185  NA Orthodox 11 5 0 NA
John Devine NA NA NA NA NA 6 4 0 NA
Edwin DeWees Babyface 73 185  NA Orthodox 37 15 0 NA
Alessio Di Chirico Manzo 72 185  74.0 Orthodox 10 1 0 NA
Cyrille Diabate The_Snake 78 205  81.0 Southpaw 20 10 3 NA
Thomas Diagne NA 73 154  NA NA 5 4 1 NA
Marc Diakiese Bonecrusher 70 155  73.0 Orthodox 11 0 0 NA
Eldo Xavier Dias NA 71 180  NA NA 0 1 0 NA
Rafael Dias NA 69 145  NA Orthodox 15 8 2 NA
Hacran Dias Barnabe 68 145  69.0 Orthodox 23 5 1 NA
Nick Diaz NA 73 185  76.0 Southpaw 26 9 0 NA
Nate Diaz NA 72 170  76.0 Southpaw 20 11 0 NA
Michael Diaz NA NA 260  NA NA 1 3 0 NA
Ryan Diaz NA NA 145  NA NA 13 13 0 NA
Mark Dickman Tricky 69 145  NA NA 10 2 0 NA
Josh Diekmann The_Freight_Train 64 246  NA NA 15 6 0 NA
Kyle Dietz NA 68 135  NA Orthodox 5 2 0 NA
Seth Dikun NA 70 135  69.0 Orthodox 7 4 0 NA
TJ Dillashaw NA 66 135  67.0 Orthodox 14 3 0 NA
Ralph Dillon Rage 74 205  NA Orthodox 0 1 1 NA
Drew Dimanlig NA NA 185  NA NA 3 3 0 NA
Rodolfo Marques Diniz NA 66 135  NA NA 14 1 1 NA
Helio Dipp NA 77 185  NA Orthodox 6 3 0 NA
John Dixson Big_John 72 275  NA Orthodox 15 22 0 NA
Anthony Do NA 64 125  NA NA 2 0 0 NA
Russell Doane NA 67 135  70.0 Orthodox 14 7 0 NA
Drew Dober NA 68 155  70.0 Southpaw 17 8 0 NA
David Dodd NA 74 200  NA Orthodox 4 7 0 NA
John Dodson The_Magician 63 135  66.0 Orthodox 19 8 0 NA
Joe Doerksen El_Dirte 72 185  75.0 Orthodox 47 16 0 NA
Mike Dolce Skull_Cracker 71 185  NA NA 5 10 0 NA
Cameron Dollar NA 71 155  NA Orthodox 9 4 0 NA
CB Dollaway The_Doberman 74 205  76.0 Orthodox 16 9 0 NA
Dennis Dombrow NA NA 145  NA NA 2 2 0 NA
OJ Dominguez NA NA NA NA NA 0 1 0 NA
John Donaldson J.T. 68 145  NA NA 1 1 0 NA
Cody Donovan Donnybrook 75 205  74.0 Orthodox 8 5 0 NA
Houston Dorr NA 73 210  NA Orthodox 1 2 0 NA
Rafael Dos Anjos NA 68 155  70.0 Southpaw 25 9 0 NA
Junior Dos Santos Cigano 76 238  77.0 Orthodox 18 4 0 NA
Geronimo dos Santos Mondragon 75 264  NA Orthodox 31 14 0 NA
Antonio Dos Santos Junior_Alpha 70 185  72.0 Orthodox 6 3 0 NA
Tiago Trator Trator 69 145  70.0 Orthodox 20 6 2 NA
David Douglas Tarzan 71 155  NA NA 8 3 0 NA
Damion Douglas NA NA 170  NA NA 4 1 0 NA
John Dowdy NA NA NA NA NA 0 2 0 NA
Jordan Dowdy NA NA 170  NA NA 2 1 0 NA
Danny Downes NA 72 155  72.0 Orthodox 8 3 0 NA
Derek Downey NA 73 185  NA Orthodox 11 4 0 NA
John Doyle The_Iron_Bull 71 205  NA Orthodox 11 20 0 NA
Edson Drago NA 76 220  NA Orthodox 9 4 0 NA
Chris Drumm NA 68 145  NA NA 0 1 0 NA
Tomasz Drwal Gorilla 73 205  76.0 Orthodox 19 4 1 NA
Robert Drysdale NA 75 205  78.0 Orthodox 6 0 0 NA
Hugo Duarte NA 72 240  NA Orthodox 6 3 0 NA
Antonio Duarte Tigre 67 135  NA NA 15 4 0 NA
Joe Duarte NA NA 155  NA NA 10 3 0 NA
Milana Dudieva NA 63 135  61.0 Orthodox 11 5 0 NA
Adin Duenas NA 66 145  NA NA 3 1 0 NA
Todd Duffee NA 75 260  79.0 Orthodox 9 3 0 NA
Joe Duffy Irish 70 155  73.0 Orthodox 15 2 0 NA
Alexis Dufresne Sneaky_Zebra 69 135  68.0 Orthodox 5 4 0 NA
Jessamyn Duke The_Gun 71 135  73.0 NA 3 3 0 NA
Kelly Dullanty Psycho 68 155  NA Orthodox 4 2 0 NA
Evan Dunham NA 70 155  70.0 Southpaw 18 6 0 NA
Alex Dunworth NA 68 155  NA NA 2 2 0 NA
Reuben Duran NA 67 135  69.0 Orthodox 8 5 1 NA
Luiz Dutra Besouro 71 170  71.0 Orthodox 11 4 1 NA
Bill Duvall NA 74 185  NA Southpaw 1 2 0 NA
Matt Dwyer NA 76 170  76.0 Orthodox 8 4 0 NA
NA NA NA NA NA NA NA NA NA NA NA
Ben Earwood NA 68 170  NA Orthodox 12 3 0 NA
Cody East The_Freight_Train 75 245  74.0 Orthodox 12 3 0 NA
Marvin Eastman The_Beastman 69 185  73.0 Orthodox 17 14 1 NA
Mike Easton The_Hulk 66 135  70.0 Southpaw 13 5 0 NA
Maurice Eazel NA 67 135  NA NA 7 15 0 NA
Vincent Eazelle The_Real_Deal 71 155  NA NA 9 2 0 NA
Ross Ebanez The_Boss 69 154  NA Southpaw 20 8 0 NA
Brian Ebersole Bad_Boy 72 170  73.0 Southpaw 51 17 1 NA
Mark Eddiva NA 68 145  68.0 Orthodox 6 3 0 NA
Frankie Edgar The_Answer 66 145  68.0 Orthodox 20 5 1 NA
Abdul-Kerim Edilov NA 73 205  NA Orthodox 16 4 0 NA
Johnny Eduardo NA 67 135  71.0 Orthodox 28 10 0 NA
Yves Edwards NA 69 155  73.0 Southpaw 42 22 1 NA
Justin Edwards Fast_Eddy 70 155  70.0 Orthodox 9 5 0 NA
Leon Edwards Rocky 72 170  74.0 Southpaw 12 3 0 NA
Tom Egan NA 71 170  NA Orthodox 5 3 0 NA
Justin Eilers The_Hammer 73 235  NA Orthodox 19 7 1 NA
Jon Olav Einemo The_Viking 78 253  NA Orthodox 6 3 0 NA
Per Eklund NA 70 155  72.0 Orthodox 14 5 1 NA
John Elam NA NA NA NA NA 2 0 0 NA
John Paul Elias NA 76 205  NA NA 3 0 0 NA
Saul Elizondo NA 67 135  NA NA 6 6 0 NA
Darren Elkins The_Damage 70 145  71.0 Orthodox 22 5 0 NA
Jake Ellenberger The_Juggernaut 69 170  71.0 Orthodox 31 12 0 NA
Joe Ellenberger Excalibur 69 155  72.0 Orthodox 15 2 0 NA
Tim Elliott NA 67 125  66.0 Southpaw 14 6 1 NA
Eddy Ellis Fast 69 170  NA Orthodox 16 15 1 NA
Lisa Ellis NA 64 115  62.0 NA 15 10 0 NA
Anna Elmose Panda 63 115  65.0 Orthodox 3 2 0 NA
Aaron Ely The_Cyborg 68 135  NA NA 5 2 0 NA
Aleksander Emelianenko NA 78 255  NA Orthodox 17 4 0 NA
Fedor Emelianenko The_Last_Emperor 72 230  74.0 Orthodox 34 4 0 NA
Rob Emerson The_Saint 69 155  70.0 Orthodox 11 10 0 NA
Josh Emmett NA 66 155  70.0 Orthodox 11 0 0 NA
Marius Enache NA 71 155  NA NA 3 3 0 NA
Kevin Engel The_Hitman 74 170  NA NA 4 0 0 NA
Alex Enlund NA 70 145  73.0 Orthodox 14 2 0 NA
Ian Entwistle Enty 65 135  64.0 Orthodox 9 3 0 NA
Andy Enz Lionheart 75 185  78.0 Orthodox 8 3 0 NA
Won Jin Eoh NA 67 160  NA Orthodox 5 5 1 NA
Josh Epps NA NA 130  NA NA 3 4 0 NA
Tom Erikson The_Big_Cat 75 280  NA Orthodox 9 4 1 NA
Konstantin Erokhin The_Russian_Bear 71 230  73.0 Orthodox 9 3 0 NA
Julian Erosa Juicy_J 73 145  75.0 Southpaw 15 4 0 NA
Nick Ertl NA 69 155  NA NA 8 6 0 NA
Chel Erwin-Davis The_First_Sun 72 170  NA NA 2 1 0 NA
Bobby Escalante NA NA 130  NA NA 3 3 0 NA
Eric Esch Butterbean 71 350  NA Orthodox 14 10 1 NA
Pro Escobedo NA NA 205  NA NA 1 0 0 NA
Cole Escovedo Apache_Kid 67 135  72.0 Orthodox 17 8 0 NA
Efrain Escudero Hecho_En_Mexico 69 155  70.0 Orthodox 25 11 0 NA
Evan Esguerra NA NA 145  NA NA 3 4 0 NA
Carla Esparza Cookie_Monster 61 115  63.0 NA 12 3 0 NA
Terry Etim NA 73 155  73.0 Orthodox 15 5 0 NA
Fred Ettish NA 72 180  NA Southpaw 1 1 0 NA
Scott Ettling NA NA 135  NA NA 2 1 0 NA
Billy Evangelista NA 68 155  68.0 Orthodox 11 2 0 NA
Rashad Evans Suga 72 185  75.0 Orthodox 24 5 1 NA
Doug Evans NA 69 155  NA Orthodox 13 9 0 NA
Ashlee Evans-Smith NA 68 135  67.0 Orthodox 5 1 0 NA
Dan Evensen The_Viking 75 250  NA Orthodox 11 4 0 NA
Tonya Evinger NA 67 135  NA Orthodox 9 6 0 NA
Neal Ewing NA NA 185  NA NA 6 0 0 NA
Jessica Eye Evil 66 135  66.0 Orthodox 11 6 0 NA
NA NA NA NA NA NA NA NA NA NA NA
Edward Faaloloto NA NA 155  70.0 NA 2 3 0 NA
Urijah Faber The_California_Kid 66 135  67.0 Orthodox 34 10 0 NA
Wagnney Fabiano The_Silencer 66 145  69.0 Southpaw 14 3 0 NA
Bartosz Fabinski The_Butcher 72 185  75.0 Orthodox 13 2 0 NA
Ron Faircloth NA 69 205  NA Orthodox 33 20 0 NA
Jason Fairn NA 73 230  NA NA 4 5 0 NA
Maiquel Falcao Big_Rig 71 185  NA Orthodox 28 4 0 NA
Brodie Farber NA 73 170  NA Orthodox 14 6 0 NA
Joao Paulo Faria NA 69 155  NA NA 1 1 0 NA
Chance Farrar NA 69 145  NA Southpaw 8 3 0 NA
Kelly Faszholz NA 68 135  67.0 Orthodox 3 2 0 NA
Rodney Faverus NA 72 215  NA Southpaw 25 19 3 NA
Paul Felder The_Irish_Dragon 71 155  70.0 Orthodox 12 3 0 NA
JP Felty NA NA 170  NA NA 1 2 0 NA
Kevin Ferguson Kimbo_Slice 74 235  NA Orthodox 5 2 0 NA
Rhadi Ferguson NA 67 205  NA NA 3 0 0 NA
Tony Ferguson El_Cucuy 71 155  76.0 Orthodox 23 3 0 NA
Josh Ferguson Taz 65 125  66.0 Orthodox 7 5 0 NA
CJ Fernandes NA 74 170  NA NA 14 8 3 NA
Bibiano Fernandes NA 67 139  NA Orthodox 10 3 0 NA
Alexandre Ferreira Cacareco 67 205  NA Orthodox 18 6 0 NA
Cezar Ferreira Mutante 73 185  78.0 Southpaw 12 5 0 NA
Diego Ferreira NA 69 155  74.0 Orthodox 12 2 0 NA
Scott Ferrozzo The_Pitbull 71 323  NA Orthodox 4 2 0 NA
Drew Fickett The_Master 70 155  70.0 Orthodox 41 16 0 NA
Scott Fiedler NA 76 235  NA Orthodox 0 1 0 NA
Ron Fields Killing 74 200  NA Orthodox 25 30 1 NA
Anthony Figueroa NA 64 135  NA Orthodox 5 6 1 NA
Edwin Figueroa El_Feroz 67 135  69.0 Orthodox 9 4 0 NA
Paulo Filho NA 68 185  NA Southpaw 22 4 2 NA
Andre Fili Touchy 71 145  74.0 Orthodox 16 4 0 NA
Mirko Cro Cop Cro_Cop 74 230  73.0 Southpaw 31 11 2 NA
Brady Fink NA 72 183  NA Orthodox 2 3 0 NA
Jesse Finney NA 72 170  NA NA 6 1 0 NA
Jan Finney Cuddles 68 135  NA Orthodox 8 10 0 NA
Luigi Fioravanti NA 68 170  70.0 Orthodox 22 11 0 NA
Luiz Firmino Buscape 66 154  NA Orthodox 13 6 0 NA
Spencer Fisher The_King 67 155  70.0 Southpaw 25 9 0 NA
Bryanna Fissori NA 64 145  NA NA 2 0 0 NA
Jon Fitch NA 72 170  76.0 Orthodox 27 5 1 NA
Colin Fletcher The_Freakshow 74 155  78.0 Orthodox 9 3 0 NA
Jose Flores NA 73 155  NA NA 4 0 0 NA
Kenny Florian KenFlo 70 145  74.0 Southpaw 14 6 0 NA
Cody Floyd NA NA NA NA NA 2 0 0 NA
Bobby Flynn NA NA 170  NA NA 4 3 0 NA
Caros Fodor The_Future 69 155  76.0 Orthodox 7 3 0 NA
Mal Foki Twin_Tiger 67 220  NA Orthodox 5 5 0 NA
Matt Foki Twin_Tiger 67 220  NA Orthodox 5 4 0 NA
AJ Fonseca NA 64 145  NA NA 5 4 0 NA
Rob Font NA 68 135  71.0 Orthodox 13 2 0 NA
Claudionor Fontinelle NA 65 185  NA Orthodox 9 13 1 NA
Jesse Forbes Kid_Hercules 74 185  75.0 Southpaw 15 5 0 NA
Sterling Ford NA 70 155  NA NA 13 5 0 NA
Codale Ford Crunch_Time 69 170  NA NA 11 8 0 NA
Renee Forte NA 67 155  71.0 Orthodox 8 4 0 NA
Brian Foster The_Foster_Boy 69 170  71.0 Orthodox 18 5 0 NA
Xavier Foupa-Pokam Professor_X 73 185  NA Open Stance 21 16 0 NA
Mason Fowler NA 71 170  NA NA 2 0 0 NA
Brandon Foxworth NA 71 145  NA Orthodox 18 4 0 NA
Hermes Franca NA 66 155  71.0 Orthodox 22 12 0 NA
Glaico Franca Nego 72 155  77.0 NA 14 5 0 NA
Francisco France Kiko 72 205  NA NA 7 3 0 NA
John Franchi NA 66 145  67.0 Orthodox 6 2 0 NA
Rich Franklin Ace 73 185  75.0 Southpaw 29 7 0 NA
Zoila Frausto Warrior_Princess 64 135  NA Orthodox 11 1 0 NA
Zane Frazier Nasty 77 250  NA Orthodox 4 11 0 NA
Gary Frazier NA 72 245  NA Orthodox 1 2 0 NA
Ian Freeman The_Machine 71 225  NA Orthodox 19 7 1 NA
Jason Freeman NA 74 225  NA NA 6 4 0 NA
Willamy Freire Chiquerim 68 155  NA NA 19 5 0 NA
Patricio Freire Pitbull 65 145  65.0 NA 24 3 0 NA
Patricky Freire Pitbull 67 155  71.0 NA 15 7 0 NA
Rafael Freitas Capoeira NA 205  NA Orthodox 4 6 0 NA
Clay French NA 67 161  NA Southpaw 19 6 0 NA
Mike French NA 70 145  NA NA 8 9 0 NA
Don Frye The_Predator 73 219  NA Orthodox 20 9 1 NA
Tony Fryklund The_Freak 72 185  NA Orthodox 14 9 1 NA
Jesse Fujarczyk The_Ronin 76 225  NA Southpaw 3 2 0 NA
Katsuhisa Fujii Shamoji 72 205  NA Orthodox 9 18 1 NA
Megumi Fujii Mega_Megu 63 113  NA NA 26 3 0 NA
Kazuyuki Fujita Ironhead 72 235  NA Orthodox 15 9 0 NA
Keisuke Fujiwara NA 66 139  NA Switch 11 4 4 NA
Riki Fukuda NA 72 185  73.0 Southpaw 19 7 0 NA
Masio Fullen Lobo 70 145  70.0 Orthodox 10 6 0 NA
Travis Fulton The_Ironman 72 240  NA Orthodox 127 49 10 NA
Sam Fulton NA NA NA NA NA 0 2 0 NA
Masakatsu Funaki NA 72 185  NA Southpaw 39 13 1 NA
Ricardo Funch Golden_Boy 70 170  76.0 Southpaw 8 4 0 NA
Katsuaki Furuki NA 72 168  NA NA 1 1 0 NA
NA NA NA NA NA NA NA NA NA NA NA
James Gabert NA NA 178  NA NA 6 4 0 NA
Claudia Gadelha Claudinha 64 115  63.0 Orthodox 14 2 0 NA
Alavutdin Gadjiev NA 74 185  NA Orthodox 18 12 1 NA
Sheila Gaff The_German_Tank 65 135  62.0 Orthodox 10 6 1 NA
Mitch Gagnon NA 65 135  65.0 Southpaw 12 4 0 NA
Brandon Gaines NA 75 185  NA NA 5 16 0 NA
Travis Galbraith The_Gladiator 72 170  NA Orthodox 18 7 0 NA
Dave Galera Scarecrow 71 135  NA Orthodox 5 1 0 NA
Zelg Galesic Benkei 74 185  NA Orthodox 10 6 0 NA
Mickey Gall NA 74 170  74.0 Switch 4 0 0 NA
Daniel Gallemore Big_Kansas 77 265  NA NA 4 3 0 NA
Turrell Galloway NA 63 145  NA NA 5 2 0 NA
Eric Galvan NA NA 155  NA NA 0 0 0 NA
Andre Galvao NA 67 168  NA Orthodox 5 2 0 NA
Marcos Galvao Louro 67 135  NA Orthodox 11 5 1 NA
Lucas Gamaza NA NA 170  NA NA 5 2 0 NA
Joey Gambino The_Raging_Warrior 67 145  NA Orthodox 9 2 0 NA
Manvel Gamburyan The_Anvil 65 135  67.0 Orthodox 18 11 0 NA
Ariel Gandulla NA 71 205  NA Orthodox 6 6 0 NA
Sean Gannon The_Cannon 75 265  NA Southpaw 2 1 0 NA
Cody Garbrandt No_Love 68 135  65.0 Orthodox 10 0 0 NA
Leonard Garcia Bad_Boy 70 145  69.0 Orthodox 19 11 1 NA
Edgar Garcia NA 70 170  71.0 Orthodox 14 5 0 NA
Alejandro Garcia Alex 67 145  NA NA 14 5 0 NA
Alex Garcia The_Dominican_Nightmare 69 170  72.0 Orthodox 13 3 0 NA
Nick Garcia Nitro 64 125  NA NA 8 3 0 NA
