Fist Last Nickname HT WT Reach Stance W L D Belt
Andrei Arlovski The_Pitbull 75 240  77.0 Orthodox 25 13 0 NA
Joey Armstrong NA NA NA NA NA 5 2 0 NA
Ricardo Arona The_Brazilian_Tiger 71 205  NA Orthodox 14 5 0 NA
Chalid Arrab Die_Faust 71 205  NA Orthodox 7 3 0 NA
Akbarh Arreola El_Caballero 70 155  71.0 Southpaw 23 10 1 NA
Matt Arroyo No_Regard 70 170  72.0 Orthodox 3 3 0 NA
Gilles Arsene NA 69 190  NA Southpaw 1 1 0 NA
Cesar Arzamendia Goku 71 155  71.0 NA 7 4 0 NA
Cyril Asker Silverback 72 247  74.0 Orthodox 7 2 0 NA
Scott Askham NA 75 185  75.0 Southpaw 14 3 0 NA
Junior Assuncao NA 69 145  72.0 Orthodox 13 4 0 NA
Raphael Assuncao NA 65 135  66.0 Orthodox 23 5 0 NA
Bazigit Atajev Volk 73 230  NA Orthodox 17 1 0 NA
Rich Attonito The_Raging_Bull 70 170  72.0 Orthodox 10 5 0 NA
Olivier Aubin-Mercier The_Quebec_Kid 69 155  70.0 Southpaw 10 2 0 NA
Pat Audinwood Awesomely_Awesome 72 155  NA Orthodox 9 2 1 NA
Marcus Aurelio Maximus 70 155  74.0 Orthodox 21 10 0 NA
David Avellan NA 69 185  NA Orthodox 2 1 0 NA
Blas Avena The_Disciple 72 170  74.0 Orthodox 7 6 0 NA
Levi Avera NA 73 170  NA NA 16 10 0 NA
Anthony Avila NA 67 145  NA NA 6 1 0 NA
Chris Avila NA 70 145  72.0 Orthodox 5 4 0 NA
Saad Awad Assassin 71 155  NA NA 9 5 0 NA
Javy Ayala Eye_Candy 73 265  NA NA 8 5 0 NA
Jessin Ayari Abacus 72 170  73.0 Orthodox 16 3 0 NA
Luiz Azeredo NA 69 154  NA Orthodox 15 10 0 NA
Luciano Azevedo NA 75 161  NA Orthodox 16 9 1 NA
NA NA NA NA NA NA NA NA NA NA NA
Niklas Backstrom NA 73 145  74.0 Orthodox 8 2 0 NA
Seth Baczynski The_Polish_Pistola 75 170  74.0 Orthodox 18 11 0 NA
Ryan Bader Darth 74 205  74.0 Orthodox 23 5 0 NA
Izabela Badurek NA 65 115  NA Orthodox 5 3 0 NA
Ali Bagautinov Puncher 64 125  65.0 Orthodox 14 5 0 NA
Mehdi Baghdad The_Sultan 73 155  75.0 Orthodox 11 4 0 NA
Siyar Bahadurzada The_Great 71 170  76.0 Orthodox 22 6 1 NA
Shamar Bailey NA 69 155  75.0 NA 12 5 0 NA
Jordan Bailey NA 69 145  NA NA 5 1 0 NA
Scott Baker NA 72 210  NA NA 1 1 0 NA
Bryan Baker The_Beast 75 185  NA Orthodox 16 3 0 NA
Oluwale Bamgbose Holy_War_Angel 71 185  78.0 Switch 6 2 0 NA
Stephen Banaszak NA 72 145  NA NA 5 4 0 NA
Marcin Bandel Bomba 70 155  70.0 Orthodox 13 4 0 NA
Tae Hyun Bang The_Korean_Cowboy 69 155  71.0 Switch 18 10 0 NA
Yohan Banks NA NA NA NA NA 2 1 0 NA
Antonio Banuelos NA 65 135  63.0 Orthodox 19 7 1 NA
Renan Barao The_Baron 66 145  70.0 Orthodox 36 4 0 NA
Junior Barata NA 70 170  NA Orthodox 8 3 1 NA
Bryan Barberena Bam_Bam 72 170  72.0 Southpaw 12 4 0 NA
Edson Barboza Junior 71 155  75.0 Orthodox 18 4 0 NA
Luke Barnatt The_Bigslow 78 185  77.0 Orthodox 8 3 0 NA
James Barnes NA 68 145  NA NA 4 1 0 NA
Nick Barnes NA 71 170  NA NA 10 1 0 NA
Josh Barnett The_Warmaster 75 250  78.0 Orthodox 35 8 0 NA
Chris Barnhizer NA NA NA NA NA 1 2 0 NA
David Baron NA 66 155  NA Switch 17 3 1 NA
Phil Baroni The_New_York_Bad_Ass 69 170  72.0 Orthodox 14 15 0 NA
Dan Barrera The_Fireman 69 170  NA Orthodox 3 1 0 NA
Carlos Barreto NA 76 230  NA Orthodox 14 9 0 NA
Jose Barreto NA NA 185  NA Southpaw 0 1 0 NA
David Barrios NA 66 145  NA NA 4 5 0 NA
Alexandre Barros Baixinho 69 170  NA Southpaw 18 8 0 NA
Ricardo Barros NA 73 205  NA NA 2 2 0 NA
Francimar Barroso Bodao 73 205  75.0 Orthodox 18 5 0 NA
Pat Barry HD 71 235  74.0 Orthodox 8 7 0 NA
Enrique Barzola El_Fuerte 67 145  70.0 NA 13 3 1 NA
Stephen Bass Bigfish 69 145  NA NA 10 1 0 NA
Sean Bassett NA NA 155  NA NA 0 4 0 NA
Ryan Bastianelli Relentless 65 135  NA NA 5 2 0 NA
Shayna Baszler The_Queen_of_Spades 67 135  67.0 Orthodox 15 10 0 NA
Chris Beal Real_Deal 67 125  69.0 Orthodox 10 3 0 NA
Rudy Bears NA 71 170  NA Southpaw 13 11 0 NA
Salvador Becerra NA 69 155  NA NA 4 1 0 NA
Jeff Bedard Little_Popeye 66 145  NA Orthodox 13 3 0 NA
Eric Bedard Lucky_Strikes 74 239  NA NA 6 6 0 NA
Johnny Bedford Brutal 70 135  71.0 Orthodox 19 13 1 NA
Chase Beebe NA 67 135  67.0 Orthodox 19 8 1 NA
Lyle Beerbohm Fancy_Pants 70 155  NA Southpaw 15 2 0 NA
Mirsad Bektic NA 68 145  70.0 Orthodox 11 0 0 NA
Alan Belcher The_Talent 74 185  73.0 Orthodox 17 7 0 NA
Vitor Belfort The_Phenom 72 185  74.0 Southpaw 25 13 0 NA
Joey Beltran The_Mexicutioner 73 185  75.0 Orthodox 15 9 0 NA
Marco Beltran Psycho 68 135  69.0 Orthodox 8 5 0 NA
Joseph Benavidez NA 64 125  65.0 Southpaw 24 4 0 NA
Mike Bencic Batman 72 215  NA Orthodox 1 2 0 NA
Dave Beneteau Dangerous 74 250  NA Orthodox 6 5 1 NA
Karla Benitez NA 63 113  NA NA 6 2 0 NA
Gabriel Benitez Moggly 68 145  71.0 NA 19 6 0 NA
Charles Bennett Krazy_Horse 68 155  NA Orthodox 25 23 2 NA
Josh Bennett NA 76 259  NA Orthodox 12 13 0 NA
Lance Benoist NA 71 170  73.0 Southpaw 7 2 0 NA
Joe Benoit NA 69 170  NA Orthodox 11 4 0 NA
Ryan Benoit Baby_Face 65 125  68.0 Orthodox 9 5 0 NA
Pat Benson NA 69 155  NA NA 3 6 2 NA
Len Bentley NA 69 155  NA NA 9 4 0 NA
Steve Berger The_Red_Nosed_Pitbull 71 170  NA Orthodox 21 22 2 NA
Bret Bergmark The_Angry_Hick 69 170  NA NA 6 1 1 NA
Keith Berish Sha_Bang_Bang 72 205  73.0 Orthodox 5 1 0 NA
Dennis Bermudez The_Menace 66 145  66.0 Orthodox 17 5 0 NA
Dave Berry NA NA NA NA NA 0 1 0 NA
Keith Berry NA 73 185  NA NA 10 9 0 NA
Dieusel Berto NA 69 200  NA NA 0 3 0 NA
Edson Berto Little_Tiger 66 155  NA Orthodox 16 9 1 NA
Allen Berube Monstah_Lobstah 68 155  NA Orthodox 4 3 0 NA
Scott Bessac NA 76 245  NA NA 4 6 0 NA
Matt Bessette The_Mangler 70 145  NA NA 16 7 0 NA
Fernando Bettega NA NA 170  NA NA 7 5 0 NA
David Bielkheden NA 70 155  71.0 Orthodox 16 9 0 NA
Jeremiah Billington NA 69 205  NA Orthodox 11 2 0 NA
Scott Bills NA 70 170  NA NA 8 9 1 NA
Anthony Birchak El_Toro 68 135  69.0 Orthodox 13 3 0 NA
Michael Bisping The_Count 73 185  75.0 Orthodox 31 7 0 NA
Amaury Bitetti NA 69 185  NA Orthodox 5 2 0 NA
Jan Blachowicz NA 74 205  78.0 Orthodox 19 6 0 NA
Jason Black The_Black_Legion 68 155  NA Orthodox 23 4 1 NA
Brad Blackburn Bad_Brad 70 170  73.0 Orthodox 18 13 1 NA
Jason Blackford NA NA NA NA NA 2 3 0 NA
Tom Blackledge NA NA 205  NA NA 10 7 0 NA
Maximo Blanco Maxi 68 145  71.0 Orthodox 12 8 1 NA
David Blanco NA 67 145  NA NA 2 0 0 NA
Curtis Blaydes Razor 76 265  80.0 Orthodox 6 1 0 NA
Arlene Blencowe Angerfist 65 145  NA NA 7 5 0 NA
Byron Bloodworth NA 68 135  69.0 Orthodox 6 3 0 NA
Dan Bobish NA 74 345  NA Southpaw 17 9 0 NA
Mark Bocek NA 68 155  75.0 Orthodox 12 5 0 NA
Kyle Bochniak Crash 67 145  70.0 Orthodox 7 1 0 NA
Jeremy Boczulak NA NA NA NA NA 0 2 0 NA
Tim Boetsch The_Barbarian 72 185  74.0 Orthodox 20 10 0 NA
Jay Bogan NA NA 145  NA NA 6 5 0 NA
Derek Bohi Marshmallow 76 260  NA NA 6 4 0 NA
Jerry Bohlander NA 71 199  NA Orthodox 11 4 0 NA
Kotetsu Boku NA 69 154  NA Orthodox 18 7 2 NA
Kyle Bolt NA 74 185  NA NA 8 4 0 NA
Luc Bondole NA 74 205  NA NA 5 1 2 NA
Tony Bonello The_Gun 74 185  NA NA 16 2 1 NA
Jesse Bongfeldt Water 72 185  NA Orthodox 15 5 1 NA
Marcos Bonilla Murder_Marx 70 145  NA NA 1 2 0 NA
Stephan Bonnar The_American_Psycho 76 205  78.0 Orthodox 17 8 0 NA
Ray Borg The_Tazmexican_Devil 64 125  63.0 Orthodox 9 2 0 NA
Igor Borisov NA 72 235  NA Orthodox 1 1 0 NA
Steve Bosse The_Boss 71 205  72.0 Orthodox 12 2 0 NA
Marcus Bossett The_Grasshopper 73 215  NA Orthodox 1 3 0 NA
Chris Bostick NA NA NA NA NA 6 3 0 NA
Poliana Botelho NA 68 125  NA NA 5 1 0 NA
Francois Botha White_Buffalo 74 260  NA Orthodox 0 1 0 NA
Gregory Bouchelaghem NA 74 183  NA Switch 5 4 0 NA
Roy Boughton Black_Dynamite 72 205  NA NA 12 5 0 NA
Rich Bouphanouvong NA 67 170  NA NA 1 4 0 NA
Mike Bourke The_Rhino 72 275  NA Orthodox 10 16 1 NA
Jess Bouscal NA NA 155  NA NA 3 2 0 NA
Tai Bowden NA 71 230  NA NA 1 1 0 NA
Melton Bowen The_Punisher 72 225  NA Orthodox 0 1 0 NA
Brian Bowles NA 67 135  70.0 Orthodox 10 3 0 NA
Roger Bowling Relentless 69 155  68.0 Orthodox 11 5 0 NA
Blake Bowman NA 74 170  NA NA 2 4 0 NA
Ashe Bowman The_Archer 69 155  NA NA 9 10 0 NA
Kyle Bradley NA 69 155  71.0 Orthodox 15 8 0 NA
Paul Bradley The_Gentleman 69 170  NA Orthodox 18 3 0 NA
Ebenezer Fontes Braga Pitbull 72 199  NA Orthodox 13 7 2 NA
Joe Brammer The_South_Side_Strangler 68 155  NA Orthodox 7 3 1 NA
Dave Branch NA 73 185  79.0 Orthodox 9 2 0 NA
Diego Brandao DB 67 145  68.0 Orthodox 24 11 0 NA
Michael Bravo NA NA 155  NA NA 7 4 0 NA
